ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Disciplines,Cost
13222,AAS,3853,001,Lecture,3,Andrew Kahrl,MoWe 12:00pm - 12:50pm,Clark Hall 108,08/26/2025 - 12/09/2025,,,,,,,,,,,,,From Redlined to Subprime: Race and Real Estate in the US,,Open,0,60,0,"This course examines the history of housing and real estate and explores its role in shaping the meaning and lived experience of race in modern America. We will learn how and why real estate ownership, investment, and development came to play a critical role in the formation and endurance of racial segregation, modern capitalism, and the built environment.",Historical Perspectives$Social & Economic Systems$Second Writing,
13223,AAS,3853,101,Discussion,0,To Be Announced,Th 5:00pm - 5:50pm,New Cabell Hall 338,08/26/2025 - 12/09/2025,,,,,,,,,,,,,From Redlined to Subprime: Race and Real Estate in the US,,Open,0,20,0,"This course examines the history of housing and real estate and explores its role in shaping the meaning and lived experience of race in modern America. We will learn how and why real estate ownership, investment, and development came to play a critical role in the formation and endurance of racial segregation, modern capitalism, and the built environment.",Historical Perspectives$Social & Economic Systems$Second Writing,
13224,AAS,3853,102,Discussion,0,To Be Announced,Th 6:00pm - 6:50pm,New Cabell Hall 338,08/26/2025 - 12/09/2025,,,,,,,,,,,,,From Redlined to Subprime: Race and Real Estate in the US,,Open,0,20,0,"This course examines the history of housing and real estate and explores its role in shaping the meaning and lived experience of race in modern America. We will learn how and why real estate ownership, investment, and development came to play a critical role in the formation and endurance of racial segregation, modern capitalism, and the built environment.",Historical Perspectives$Social & Economic Systems$Second Writing,
13225,AAS,3853,103,Discussion,0,To Be Announced,Th 7:00pm - 7:50pm,Gibson Hall 141,08/26/2025 - 12/09/2025,,,,,,,,,,,,,From Redlined to Subprime: Race and Real Estate in the US,,Open,0,20,0,"This course examines the history of housing and real estate and explores its role in shaping the meaning and lived experience of race in modern America. We will learn how and why real estate ownership, investment, and development came to play a critical role in the formation and endurance of racial segregation, modern capitalism, and the built environment.",Historical Perspectives$Social & Economic Systems$Second Writing,
13226,AAS,3853,104,Discussion,0,To Be Announced,Fr 10:00am - 10:50am,New Cabell Hall 389,08/26/2025 - 12/09/2025,,,,,,,,,,,,,From Redlined to Subprime: Race and Real Estate in the US,,Open,0,20,0,"This course examines the history of housing and real estate and explores its role in shaping the meaning and lived experience of race in modern America. We will learn how and why real estate ownership, investment, and development came to play a critical role in the formation and endurance of racial segregation, modern capitalism, and the built environment.",Historical Perspectives$Social & Economic Systems$Second Writing,
13227,AAS,3853,105,Discussion,0,To Be Announced,Fr 11:00am - 11:50am,Gilmer Hall 247,08/26/2025 - 12/09/2025,,,,,,,,,,,,,From Redlined to Subprime: Race and Real Estate in the US,,Open,0,20,0,"This course examines the history of housing and real estate and explores its role in shaping the meaning and lived experience of race in modern America. We will learn how and why real estate ownership, investment, and development came to play a critical role in the formation and endurance of racial segregation, modern capitalism, and the built environment.",Historical Perspectives$Social & Economic Systems$Second Writing,
13228,AAS,3853,106,Discussion,0,To Be Announced,Fr 12:00pm - 12:50pm,Gilmer Hall 247,08/26/2025 - 12/09/2025,,,,,,,,,,,,,From Redlined to Subprime: Race and Real Estate in the US,,Open,0,20,0,"This course examines the history of housing and real estate and explores its role in shaping the meaning and lived experience of race in modern America. We will learn how and why real estate ownership, investment, and development came to play a critical role in the formation and endurance of racial segregation, modern capitalism, and the built environment.",Historical Perspectives$Social & Economic Systems$Second Writing,
14042,AAS,3853,107,Discussion,0,To Be Announced,Fr 12:00pm - 12:50pm,New Cabell Hall 411,08/26/2025 - 12/09/2025,,,,,,,,,,,,,From Redlined to Subprime: Race and Real Estate in the US,,Open,0,20,0,"This course examines the history of housing and real estate and explores its role in shaping the meaning and lived experience of race in modern America. We will learn how and why real estate ownership, investment, and development came to play a critical role in the formation and endurance of racial segregation, modern capitalism, and the built environment.",Historical Perspectives$Social & Economic Systems$Second Writing,
10929,AAS,4070,001,Lecture,3,Kimberly Fields,TBA,TBA,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Distinguished Major Thesis I,,Open,0,10,0,Students in the Distinguished Majors Program should enroll in this course for their first semester of thesis research.,,
13742,AAS,4501,001,SEM,4,Andrew Kahrl,Mo 2:00pm - 4:30pm,New Cabell Hall 068,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Advanced Research Seminar in History & AAS,Black Metropolis: African Americans & the City,Open,0,15,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year AAS and History students--double majors and others. Crosslisted with the History major seminar.",Historical Perspectives$Second Writing,
13744,AAS,4570,001,SEM,3,Ashon Crawley,Mo 6:00pm - 8:30pm,New Cabell Hall 027,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Advanced Research Seminar in African-American & African Studies,Black Performance Theory,Open,0,20,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year students but open to others.","Artistic, Interpretive, & Philosophical Inquiry$Second Writing",
12451,AAS,9710,001,IND,12,Robert Vinson,TBA,TBA,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Woodson Institute Fellows Pre- and Post-Doctoral Research,,Open,0,20,0,This is a supervised research course without formal classroom instruction.,,
14596,AIRS,100,001,Laboratory,0,"Glen Gilson, Zachary Jones",Tu 3:30pm - 5:30pm,Minor Hall 125,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Leadership Laboratory,,Open,0,100,0,"A mandatory laboratory in leadership and followership development for AFROTC cadets. As a complement to the air science classes, this laboratory focuses on applying leadership principles and understanding leaders' responsibilities while emphasizing the benefits of practical experience. (2 hrs.)  Prerequisite: Enrollment in Air Force ROTC.",,
14591,AIRS,1100,001,Lecture,1,Kevin Bibb,Tu 1:00pm - 1:50pm,Clark Hall 108,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Air Force Heritage and Values I,,Open,0,40,0,"This course provides an introduction to the Air Force, hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. Students should demonstrate basic verbal and written communication skills.",,
14592,AIRS,1100,002,Lecture,1,Kevin Bibb,We 1:00pm - 1:50pm,Shannon House 107,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Air Force Heritage and Values I,,Open,0,20,0,"This course provides an introduction to the Air Force, hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. Students should demonstrate basic verbal and written communication skills.",,
14593,AIRS,2100,001,Lecture,1,David Gupton,Tu 2:00pm - 2:50pm,John W. Warner Hall 113,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Team and Leadership Fundamentals I,,Open,0,30,0,"This course is designed to provide a fundamental understanding of both leadership and team building. There are many layers to leadership, including aspects that don't always jump to mind. Such things include listening, understanding yourself, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things such as conflict management. Students should demonstrate basic verbal and written communication skills",,
14594,AIRS,2100,002,Lecture,1,David Gupton,We 2:00pm - 2:50pm,Shannon House 107,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Team and Leadership Fundamentals I,,Open,0,35,0,"This course is designed to provide a fundamental understanding of both leadership and team building. There are many layers to leadership, including aspects that don't always jump to mind. Such things include listening, understanding yourself, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things such as conflict management. Students should demonstrate basic verbal and written communication skills",,
14597,AIRS,3100,001,Lecture,3,Glen Gilson,Tu 12:30pm - 1:45pm,Shannon House 107,08/26/2025 - 12/09/2025,Glen Gilson,Tu 2:00PM - 2:50PM,Shannon House 107,08/26/2025 - 12/09/2025,,,,,,,,,Leading People and Effective Communication I,,Open,0,25,0,"Focuses on the study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)",,
14598,AIRS,3100,002,Lecture,3,Glen Gilson,Mo 1:00pm - 3:00pm,Shannon House 107,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Leading People and Effective Communication I,,Open,0,15,0,"Focuses on the study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)",,
14595,AIRS,4100,001,Lecture,3,"Jason Bell, Michael Hough",Tu 12:30pm - 3:00pm,Astronomy Bldg 139,08/26/2025 - 12/09/2025,,,,,,,,,,,,,National Security Affairs/Preparation for Active Duty,,Open,0,20,0,"Examines the national security process, constitutional provisions, advanced leadership ethics, joint operations, and Air Force doctrine. Topics include the military as a profession, officership, civilian control of the military, and current issues affecting the military. Emphasizes refining communication skills through cadet briefings. Prerequisite: AIRS 3100 and/or 3200; corequisite: AIRS 100. (2 hrs.)",,No Cost Course Materials
14599,AIRS,4100,002,Lecture,3,"Jason Bell, Michael Hough",We 2:00pm - 4:30pm,Astronomy Bldg 139,08/26/2025 - 12/09/2025,,,,,,,,,,,,,National Security Affairs/Preparation for Active Duty,,Open,0,20,0,"Examines the national security process, constitutional provisions, advanced leadership ethics, joint operations, and Air Force doctrine. Topics include the military as a profession, officership, civilian control of the military, and current issues affecting the military. Emphasizes refining communication skills through cadet briefings. Prerequisite: AIRS 3100 and/or 3200; corequisite: AIRS 100. (2 hrs.)",,No Cost Course Materials
17802,ALAR,5203,001,Lecture,3,William Sherman,Fr 9:00am - 11:30am,Campbell Hall 425,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Building Venice,,Open,0,20,0,"This course examines the construction of the buildings, urban spaces, and site conditions of Venice and the Veneto from the origins of the city to the present-day. The course will involve workshops and seminars, as well as many field trips. Guest lecturers will provide expertise on a range of materials and practices. Students will keep a sketchbook to develop their studies through drawings and reflective notes.",,
17801,ALAR,5403,001,Lecture,3,Erin Putalik,Tu 9:30am - 12:00pm,Campbell Hall 405,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Venice: City and Landscape,,Open,0,20,0,"This course explores the relationship of Venice to its lagoon and the mainland through the mapping and analysis of the urban and ecological systems. The research will inform the studio and independent research, and will vary in its specific focus in accordance with each year's program research goals.",,
17598,ALAR,8010,001,STO,6,To Be Announced,TuTh 12:30pm - 5:00pm,Campbell Hall 401,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Research Studio 1,,Open,0,100,0,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two-part comprehensive design sequence. Some studios sections for this course may have an embedded travel. Prerequisite: ARCH 7020 or LAR 7020.",,
17726,ALAR,8100,001,SEM,3,Nana Last,Mo 3:30pm - 6:00pm,Campbell Hall 220C,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Thesis I,,Open,0,25,0,"This course is for students in architecture/landscape undertaking an independent design/thesis studio in the spring semester, or students interested in strategic design thinking. Methods for initiating a thesis, research systems, documentation strategies, design experimentation, and modes of production and presentation will be covered. Collective critical discussion, analysis, and feedback as well as production of a final book will be required.",,Low Cost Course Materials
10546,AMST,2001,100,Lecture,3,"Fiona Ngo, Ruby Tapia",MoWe 1:00pm - 1:50pm,John W. Warner Hall 209,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to American Studies,,Open,0,180,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
11100,AMST,2001,101,Discussion,0,To Be Announced,We 5:00pm - 5:50pm,Wilson Hall 244,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to American Studies,,Open,0,20,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
11101,AMST,2001,102,Discussion,0,To Be Announced,We 6:00pm - 6:50pm,Wilson Hall 244,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to American Studies,,Open,0,20,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
11668,AMST,2001,103,Discussion,0,To Be Announced,We 6:00pm - 6:50pm,Bryan Hall 328,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to American Studies,,Open,0,20,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
11669,AMST,2001,104,Discussion,0,To Be Announced,We 7:00pm - 7:50pm,Bryan Hall 328,08/26/2025 - 12/09/2025,,,,,,,,,,,,,Introduction to American Studies,,Open,0,20,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
