ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Disciplines,Cost
12376,ANTH,1010,001,Lecture,3,Tessa Farmer,motuwethfr 1:00pm - 3:15pm,Web-Based Course,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Introduction to Anthropology,,Open,7,30,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises.",Living Systems$Social & Economic Systems,
12377,ANTH,2400,001,Lecture,3,Taylor Gilliam,motuwethfr 10:30am - 12:45pm,TBA,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Language and Culture,,Open,4,30,0,"Introduces the interrelationships of linguistic, cultural, and social phenomena with emphasis on the importance of these interrelationships in interpreting human behavior. No prior knowledge of linguistics is required.",Cultures & Societies of the World$Social & Economic Systems,
12378,ANTH,3300,001,Lecture,3,George Mentore,motuwethfr 1:00pm - 3:15pm,TBA,06/16/2025 - 07/11/2025,George Mentore,sa 1:00pm - 3:15pm,TBA,06/28/2025 - 06/28/2025,,,,,,,,,Tournaments and Athletes,,Open,1,30,0,A cross-cultural study of sport and competitive games. Prerequisite: ANTH 101 or instructor permission.,"Artistic, Interpretive, & Philosophical Inquiry$Cultures & Societies of the World",
12422,ANTH,3680,001,Lecture,3,Henry Skerritt,motuwethfr 10:30am - 12:45pm,TBA,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Australian Aboriginal Art and Culture,,Open,1,30,0,"This class studies the intersection of anthropology, art and material culture focusing on Australian Aboriginal art. We examine how Aboriginal art has moved from relative obscurity to global recognition over the past thirty years. Topics include the historical and cultural contexts of invention, production, marketing and appropriation of Aboriginal art. Students will conduct object-based research using the Kluge-Ruhe Aboriginal Art Collection. Prerequisite: ANTH 1010 or instructor permission.","Artistic, Interpretive, & Philosophical Inquiry$Cultures & Societies of the World",
11103,ANTH,5993,001,IND,3,Mark Sicoli,tba,TBA,06/16/2025 - 07/11/2025,,,,,,,,,,,,,Independent Studies in Anthropology,,Open,0,30,0,Independent study conducted by the student under the supervision of an instructor of his or her choice.,,
10674,APMA,1090,001,Lecture,3,To Be Announced,motuwethfr 10:30am - 12:45pm,TBA,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Single Variable Calculus I,,Open,1,20,0,"The concepts of differential and integral calculus are developed and applied to the elementary functions of a single variable. Limits, rates of change, derivatives, and integrals. Applications are made to problems in analytic geometry and elementary physics.",,
10535,APMA,1110,001,Lecture,4,Shirin Provat,motuwethfr 10:00am - 12:30pm,TBA,06/16/2025 - 07/11/2025,,,,,,,,,,,,,Single Variable Calculus II,,Open,0,20,0,"Advanced techniques of integration are introduced, and integration is used in physics applications like fluid force, work, and center of mass. Improper integrals and approximate integration using Simpson's Rule are also studied. Infinite series including Taylor series are studied and numerical methods involving Taylor polynomials are studied. Parametric equations and polar coordinates are introduced and applied. Complex numbers are introduced. Pre-requisite: APMA 1090 or MATH 1310",,
12203,APMA,2120,001,Lecture,4,Asif Mahmood,tba,Web-Based Course,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Multivariable Calculus,,Open,0,30,0,"Topics include vectors in three-space and vector valued functions. The multivariate calculus, including partial differentiation, multiple integrals, line and surface integrals, and the vector calculus, including Green's theorem, the divergence theorem, and Stokes's theorem. Applications. Prerequisite: APMA 1110 or MATH 1320.",,
12205,APMA,2120,002,Lecture,4,Asif Mahmood,tba,Web-Based Course,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Multivariable Calculus,,Open,2,30,0,"Topics include vectors in three-space and vector valued functions. The multivariate calculus, including partial differentiation, multiple integrals, line and surface integrals, and the vector calculus, including Green's theorem, the divergence theorem, and Stokes's theorem. Applications. Prerequisite: APMA 1110 or MATH 1320.",,
12204,APMA,2120,003,Lecture,4,Nethali Fernando,motuwethfr 10:00am - 12:30pm,TBA,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Multivariable Calculus,,Open,1,30,0,"Topics include vectors in three-space and vector valued functions. The multivariate calculus, including partial differentiation, multiple integrals, line and surface integrals, and the vector calculus, including Green's theorem, the divergence theorem, and Stokes's theorem. Applications. Prerequisite: APMA 1110 or MATH 1320.",,
12206,APMA,2130,001,Lecture,4,Diana Morris,tba,Web-Based Course,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Ordinary Differential Equations,,Open,9,30,0,"First order differential equations, second order and higher order linear differential equations, undetermined coefficients, variation of parameters, Laplace transforms, linear systems of first order differential equations and the associated matrix theory, numerical methods. Applications. Prerequisite: APMA 2120 or equivalent.",,
10035,APMA,3080,001,Lecture,3,James Lark,motuwethfr 9:00am - 10:00am,Olsson Hall 011,06/16/2025 - 08/07/2025,James Lark,sa 9:00am - 10:00am,Olsson Hall 011,06/28/2025 - 06/28/2025,,,,,,,,,Linear Algebra,,Open,1,30,0,"Analyze and apply systems of linear equations; vector spaces; linear transformations; matrices; determinants; eigenvalues; eigenvectors; coordinates; diagonalization; orthogonality; projections; inner product spaces; quadratic forms; The course is both computational and applicable. MATLAB is frequently used and prior experience in MATLAB (loops, functions, arrays, conditional statements) is helpful. Prerequisite: APMA 2120 or equivalent.",,
10622,APMA,3100,001,Lecture,3,Christian Hellings,motuwethfr 10:30am - 12:45pm,TBA,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Probability,,Open,2,30,0,"A calculus-based introduction to probability theory and its applications in engineering and applied science. Includes counting techniques, conditional probability, independence, discrete and continuous random variables, probability distribution functions, expected value and variance, joint distributions, covariance, correlation, the Central Limit theorem, the Poisson process, an introduction to statistical inference. Students must have completed (APMA 2120 or MATH 2310 or MATH 2315) AND (CS 1110 or CS 1111 or CS 1112 or CS 1113 or successfully completed the CS 1110 place out test).",,
12207,APMA,3100,002,Lecture,3,Megan Ryals,motuwethfr 10:30am - 12:45pm,TBA,06/16/2025 - 07/11/2025,Megan Ryals,sa 10:30am - 12:45pm,TBA,06/28/2025 - 06/28/2025,,,,,,,,,Probability,,Open,2,30,0,"A calculus-based introduction to probability theory and its applications in engineering and applied science. Includes counting techniques, conditional probability, independence, discrete and continuous random variables, probability distribution functions, expected value and variance, joint distributions, covariance, correlation, the Central Limit theorem, the Poisson process, an introduction to statistical inference. Students must have completed (APMA 2120 or MATH 2310 or MATH 2315) AND (CS 1110 or CS 1111 or CS 1112 or CS 1113 or successfully completed the CS 1110 place out test).",,
10623,APMA,3110,001,Lecture,3,Deepyaman Maiti,motuwethfr 10:30am - 12:45pm,TBA,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Applied Statistics and Probability,,Open,7,30,0,"Introduces basic concepts of probability such as random variables, single and joint probability distributions, and the central limit theorem. The course then emphasizes applied statistics, including descriptive statistics, statistical inference, confidence intervals, hypothesis testing, correlation, linear regression, and ANOVA. Students cannot receive credit for both this course and APMA 3120. Prerequisite: APMA 2120 or equivalent.",,
10038,APMA,3120,001,Lecture,3,James Lark,motuwethfr 10:30am - 11:30am,Olsson Hall 011,06/16/2025 - 08/07/2025,James Lark,sa 10:30am - 11:30am,Olsson Hall 011,06/28/2025 - 06/28/2025,,,,,,,,,Statistics,,Open,0,30,0,"Includes point estimation methods, confidence intervals, hypothesis testing for one population and two populations, categorical data tests, single and multi-factor analysis of variance (ANOVA) techniques, linear and non-linear regression and correlation analysis, and non-parametric tests. Students cannot receive credit for both this course and APMA 3110. Prerequisite: APMA 3100 or MATH 3100.",,
12218,APMA,3140,001,Lecture,3,Julie Spencer,tba,Web-Based Course,06/16/2025 - 07/11/2025,,,,,,,,,,,,,Applied Partial Differential Equations,,Open,9,30,0,"Partial differential equations that govern physical phenomena in science and engineering. Separation of variables, superposition, Fourier series, Sturm-Liouville eigenvalue problems, eigenfunction expansion techniques. Particular focus on the heat, wave, and Laplace partial differential equations in rectangular, cylindrical, and spherical coordinates. Prerequisites: (APMA 2120 or MATH 2310 or MATH 2315) AND (APMA 2130 or MATH 3250 or APMA 2501 topic Diff Equations & Linear Algebra)",,
12219,APMA,3150,001,Lecture,3,Heze Chen,motuwethfr 10:30am - 12:45pm,TBA,05/19/2025 - 06/13/2025,,,,,,,,,,,,,From Data to Knowledge,,Open,2,30,0,"This course uses a Case-Study approach to teach statistical techniques with R: confidence intervals, hypotheses tests, regression, and anova. Also, it covers major statistical learning techniques for both supervised and unsupervised learning. Supervised learning topics cover regression and classification, and unsupervised learning topics cover clustering & principal component analysis. Prior basic statistic skills are needed.",,
12220,APMA,3150,002,Lecture,3,Heze Chen,motuwethfr 10:30am - 12:45pm,TBA,06/16/2025 - 07/11/2025,Heze Chen,sa 10:30am - 12:45pm,TBA,06/28/2025 - 06/28/2025,,,,,,,,,From Data to Knowledge,,Open,2,30,0,"This course uses a Case-Study approach to teach statistical techniques with R: confidence intervals, hypotheses tests, regression, and anova. Also, it covers major statistical learning techniques for both supervised and unsupervised learning. Supervised learning topics cover regression and classification, and unsupervised learning topics cover clustering & principal component analysis. Prior basic statistic skills are needed.",,
12170,ARAB,216,001,Lecture,0,"Bilal Humeidan, Bilal Maanaki",motuwethfr 10:00am - 3:00pm,Web-Based Course,06/16/2025 - 07/11/2025,"Bilal Humeidan, Bilal Maanaki",sa 10:00am - 3:00pm,Web-Based Course,06/28/2025 - 06/28/2025,,,,,,,,,Intensive Intermediate Arabic,,Open,0,30,0,"This intensive course begins with instruction in basic intermediate level expression, listening comprehension, reading and writing, and continues with further development of these four skills. Part of the Summer Language Institute.",,
12171,ARAB,226,001,Lecture,0,"Bilal Humeidan, Bilal Maanaki",motuwethfr 10:00am - 3:00pm,Web-Based Course,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Intensive Intermediate Arabic,,Open,0,30,0,"This intensive course begins with instruction in basic intermediate level expression, listening comprehension, reading and writing, and continues with further development of these four skills. Part of the Summer Language Institute.",,
12172,ARAB,256,001,Lecture,0,"Bilal Humeidan, Bilal Maanaki",motuwethfr 12:00pm - 1:00pm,Web-Based Course,06/16/2025 - 07/11/2025,"Bilal Humeidan, Bilal Maanaki",sa 12:00pm - 1:00pm,Web-Based Course,06/28/2025 - 06/28/2025,,,,,,,,,Introduction to Levantine Arabic-I,,Open,0,30,0,"This course intends to introduce the students to colloquial Levantine Arabic by enabling them to communicate in Levantine Arabic, the colloquial spoken in Syria, Lebanon, the Holy Land, and Western JordanPrerequisite: First Year Arabic",,
12173,ARAB,266,001,Lecture,0,"Bilal Humeidan, Bilal Maanaki",motuwethfr 12:00pm - 1:00pm,Web-Based Course,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Introduction to Levantine Arabic-II,,Open,0,30,0,"This course intends to introduce the students to colloquial Levantine Arabic by enabling them to communicate in Levantine Arabic, the colloquial spoken in Syria, Lebanon, the Holy Land, and Western JordanPrerequisite: First year Arabic and ARAB 0256/2256",,
12166,ARAB,2016,001,Lecture,4,"Bilal Humeidan, Bilal Maanaki",motuwethfr 10:00am - 3:00pm,Web-Based Course,06/16/2025 - 07/11/2025,"Bilal Humeidan, Bilal Maanaki",sa 10:00am - 3:00pm,Web-Based Course,06/28/2025 - 06/28/2025,,,,,,,,,Intensive Intermediate Arabic,,Open,0,30,0,"This intensive course begins with instruction in basic intermediate level expression, listening comprehension, reading and writing, and continues with further development of these four skills. Prerequistes: ARAB 1016 & 1026 or equivalent.",,
12167,ARAB,2026,001,Lecture,4,"Bilal Humeidan, Bilal Maanaki",motuwethfr 10:00am - 3:00pm,Web-Based Course,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Intensive Intermediate Arabic,,Open,0,30,0,"This intensive course begins with instruction in intermediate level oral expression, listening comprehension, reading and writing, and continues with further development of these four skills. Prerequisites: ARAB 1016 , 1026 & 2016 or equivalent.",World Languages,
12168,ARAB,2256,001,Lecture,0.5,"Bilal Humeidan, Bilal Maanaki",motuwethfr 12:00pm - 1:00pm,Web-Based Course,06/16/2025 - 07/11/2025,"Bilal Humeidan, Bilal Maanaki",sa 12:00pm - 1:00pm,Web-Based Course,06/28/2025 - 06/28/2025,,,,,,,,,Introduction to Colloquial Arabic I,,Open,0,30,0,"This course intends to introduce students to a variety of colloquial Arabic by enabling them to communicate with native speakers in the region where this variety is spoken. The focus will be on vocabulary and expressions used in daily life.Prerequisite: ARAB 1010 and ARAB 1020, or instructor's permission.",,
12169,ARAB,2266,001,Lecture,0.5,"Bilal Humeidan, Bilal Maanaki",motuwethfr 12:00pm - 1:00pm,Web-Based Course,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Introduction to Colloquial Arabic II,,Open,0,30,0,"This course is a continuation of ARAB 2256. The course intends to introduce students to a variety of colloquial Arabic by enabling them to communicate with native speakers in the region where this variety is spoken. The focus will be on the vocabulary and expressions used in daily life.Prerequisite: ARAB 1010, ARAB 1020, and ARAB 2256. or instructor's permission",,
10005,ARCH,1031,001,STO,4,Isaac Mangual Martinez,motuwethfr 1:00pm - 6:00pm,Campbell Hall 305,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Summer Foundation Studio I,,Open,1,14,0,"The studio course introduces architecture, urban and environmental planning, and architectural history to the built environment related to scales from the body to buildings, landscapes, and cities.Students explore comprehensive and foundational design principles, skill sets, and critical thinking.",,
12000,ARTH,1500,001,Lecture,3,Daniel Weiss,motuwethfr 10:30am - 12:45pm,TBA,07/14/2025 - 08/07/2025,,,,,,,,,,,,,Introductory Seminars in Art History,Art and War,Open,0,7,0,"Introductory Seminars in Art History are small classes for first- and second-year students that emphasize reading, writing, and discussion. While subject varies with the instructor, topics will be selected that allow students to engage broad issues and themes historically and in relationship to contemporary concerns and debates. Subject is announced prior to each registration period. Enrollment is capped at 15.",,
12412,ARTH,1503,001,Lecture,3,Eric Ramirez-Weaver,motuwethfr 1:00pm - 3:15pm,Web-Based Course,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Art and the Premodern World,Art and Astronomy,Open,3,15,0,"This course will train students to understand and critically evaluate comparative, premodern, global cultures.","Artistic, Interpretive, & Philosophical Inquiry",
12001,ARTH,2052,001,Lecture,3,Anastasia Dakouri-Hild,motuwethfr 10:30am - 12:45pm,Web-Based Course,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Ancient Egypt,,Open,3,20,0,"Survey of Egyptian art and architecture (Predynastic-New Kingdom, 4000-1100 BC). The course introduces students to the great monuments and works of art, and to the beliefs that engendered them. While the focus is on pharaonic 'visual' culture, neglected 'others' (women, cross-gendered persons, foreigners, commoners) and their material/visual cultures are brought to attention to provide a nuanced understanding of Egyptian society and culture.","Artistic, Interpretive, & Philosophical Inquiry$Historical Perspectives",
10856,ARTH,2470,001,SEM,3,Christa Robbins,motuwethfr 3:30pm - 5:45pm,Web-Based Course,06/16/2025 - 07/11/2025,Christa Robbins,sa 3:30pm - 5:45pm,Web-Based Course,06/28/2025 - 06/28/2025,,,,,,,,,Art Now,,Open,4,20,0,"This course is designed to familiarize you with the major themes, issues, and questions being pursued in today's art world. Focusing on the last twenty years, the class is organized around five themes that define the majority of art being made today: portraying, experiencing, performing, reproducing, and agitating.","Artistic, Interpretive, & Philosophical Inquiry",
12421,ARTH,3651,001,Lecture,3,Henry Skerritt,motuwethfr 10:30am - 12:45pm,TBA,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Anthropology of Australian Aboriginal Art,,Open,1,30,0,"This class studies the intersection of anthropology, art and material culture focusing on Australian Aboriginal art. We examine how Aboriginal art has moved from relative obscurity to global recognition over the past 30 yrs. Topics include the historical and cultural contexts of invention, production, marketing and appropriation of Aboriginal art. Students will conduct research using the Kluge-Ruhe Aboriginal Art Collection and Study Center.","Artistic, Interpretive, & Philosophical Inquiry$Cultures & Societies of the World",
12002,ARTS,2530,001,STO,3,Anna Hogg,motuwethfr 1:00pm - 3:15pm,TBA,06/16/2025 - 07/11/2025,Anna Hogg,sa 1:00pm - 3:15pm,TBA,06/28/2025 - 06/28/2025,,,,,,,,,Special Topics in Cinematography,"Moving the Image, Moving the Body",Open,0,12,0,"An introduction to the specialized materials, methods, processes, and cultural issues as they relate to the history and practice of cinematography.","Artistic, Interpretive, & Philosophical Inquiry",
12003,ARTS,2580,001,STO,3,"LaRissa Rogers, Jackson Taylor",motuwethfr 1:00pm - 3:15pm,TBA,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Special Topics in Sculpture,Sculpture and Expanded Printmaking,Open,0,15,0,"An introduction to the specialized materials, methods, processes, and cultural issues as they relate to the history and practice of Sculpture.","Artistic, Interpretive, & Philosophical Inquiry",
10683,ARTS,2610,1,STO,3,Akemi Ohira,motuwethfr 10:30am - 12:45pm,TBA,06/16/2025 - 07/11/2025,Akemi Ohira,sa 10:30am - 12:45pm,TBA,06/28/2025 - 06/28/2025,,,,,,,,,Drawing I,,Open,3,16,0,"A continued introductory study of the materials and techniques of drawing. Provides training in the coordination of hand and eye and encourages development of visual analysis. Emphasizes understanding form, space, light and composition.","Artistic, Interpretive, & Philosophical Inquiry",
12423,ARTS,4812,001,STO,3,"LaRissa Rogers, Jackson Taylor",motuwethfr 1:00pm - 3:15pm,TBA,05/19/2025 - 06/13/2025,,,,,,,,,,,,,Advanced Sculpture II,,Open,0,1,0,"Continuation fo the sculpture sequence with greater emphasis on developing a student's individual voice. Advanced projects in mold-making, metal casting, and non-traditional sculpture materials are assigned. The creation of a sculptural installation is also assigned. Sculpture professors and course content vary from semester to semester. Prerequisite: ARTS 3810 or 3812","Artistic, Interpretive, & Philosophical Inquiry",
10866,ASTR,1210,001,Lecture,3,Matthew Pryal,motuwethfr 10:30am - 12:45pm,TBA,06/16/2025 - 07/11/2025,Matthew Pryal,sa 10:30am - 12:45pm,TBA,06/28/2025 - 06/28/2025,,,,,,,,,Introduction to the Sky and Solar System,,Open,1,35,0,"A study of the night sky primarily for non-science majors. Provides a brief history of astronomy through Newton. Topics include the properties of the sun, earth, moon, planets, asteroids, meteors and comets; origin and evolution of the solar system; life in the universe; and recent results from space missions and ground-based telescopes.","Chemical, Mathematical, and Physical Universe",
10867,ASTR,1220,001,Lecture,3,Kara Green,motuwethfr 10:30am - 12:45pm,TBA,07/14/2025 - 08/07/2025,,,,,,,,,,,,,"Introduction to Stars, Galaxies, and the Universe",,Open,2,23,0,"A study of stars, star formation, and evolution primarily for non-science majors. Topics include light, atoms, and modern observing technologies; origin of the chemical elements; supernovae, pulsars, neutron stars, and black holes; structure and evolution of our galaxy; nature of other galaxies; active galaxies and quasars; expanding universe, cosmology, the big bang, and the early universe.","Chemical, Mathematical, and Physical Universe",
