Name,Category,OriginalCategories,Application,Description,Photo
Alpha Phi Omega - Theta Chapter,Service & Advocacy,Contracted Independent Organization (CIO)$Public Service,True,"Alpha Phi Omega is a gender-inclusive service fraternity that provides community service to the Charlottesville area and beyond. We put an emphasis on prioritizing the needs of all of our sites to ensure we can provide the best service possible, and we encourage all members to both find meaning with our several service opportunities like Midweeks (~1 hour long service projects during the week) and Saturday Projects (~3 hour long service projects on Saturdays), and to put in the effort to actually get to know all of our various sites. At the same time, we also have an active social aspect of our chapter as we encourage all members to get to know one another and bond through several social events throughout the semester. Members also have numerous opportunities to work on leadership skills, both within the organization and during our service projects, as we believe leading is one of the best ways to provide the best service. So, if you're looking for an organization that is all about doing meaning service alongside people who enjoy doing community service just as much, APO is for you!",11c23d79-2557-449e-bd50-14a0fd682b94.jpg
Alpha Rho Chi - Kallikrates Chapter at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Internships and Employment$Leadership Development$No Application or Interview Required$Architecture$Sustainability,False,"Alpha Rho Chi is an architecture and design-based national academic fraternity, and here at UVA, a student-led organization that aims to create relationships among students of all years and disciplines, relating to the School of Architecture, through philanthropic, educational, and social events within the school and local community. Members have opportunities to participate in events and programs to further their leadership involvement, career development, and connections with other students through consistent programming that is centered around the three main pillars of philanthropy, professional development, and relationship-building. APX has an extensive list of activities planned for this semester, including partnering with the Career Center for professional development-centered events, firm crawls, days of service and volunteering opportunities, peer mentoring, and much more. Being a chapter of a widespread national organization also gives us access to a broad network of APX alumni and fellow design students at other universities, as well as opportunities for major scholarships and leadership conferences. We welcome students of all backgrounds and design disciplines, at both the graduate and undergraduate levels. Even though we are known nationally as a provisional chapter of a “fraternity,” our organization is open to and made up of a gender-inclusive group of students. Note: The included website URL is technically for our chapter, given by the National Organization; however, it is not a primary form of organization or contact for our group. Other forms of contact/outreach/communication include our Instagram, GroupMe, and emailing list. More information about APX's National Organization can be found here: https://alpharhochi.org",748f8d77-144b-487b-ac89-abc990281272.png
Alpha Sigma Phi - Zeta Upsilon Chapter,Greek Life,Political & Advocacy$Public Service$Social & Hobby$Fraternity or Sorority,True,FSL,58006e64-ec5e-46ed-bd1a-1f0b95f9472f.jpg
Alpha Tau Omega (Delta Chapter),Greek Life,Political & Advocacy$Public Service$Social & Hobby$Fraternity or Sorority,True,FSL,8b7ff781-f553-4e1a-b99e-ba2411b514a1.jpg
Alternative Investment Fund,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional$Commerce/Business,True,"AIF is a student run, McIntire-affiliated club at the University of Virginia that trains young professionals for careers in investment management and other functions within the financial markets.  AIF strives to expose members to the full spectrum of financial instruments and trading strategies, beyond the long-short equity model commonly employed by student investment funds.  We deploy capital in a wide array of assets, including equities, fixed income, options, futures, currencies, commodities and other alternative investments.",9b166124-881c-4f0a-a1f9-ca6ff75814f4.jpg
Alternative Spring Break,Service & Advocacy,Contracted Independent Organization (CIO)$Public Service,True,"Alternative Spring Break (ASB) is an entirely student-run service organization established in 1992 to conduct service projects during spring break for University of Virginia students. Originally, the trips were designed to function as a simple, service-oriented alternatives to the standard college break experience. Over time the organization has expanded upon this original set of aspirations and experienced incredible growth in both the quantity and quality of service projects that make up an ASB experience. Signing up to participate in an ASB service project has grown from a simple one-week commitment into a year-round experience that emphasizes self-awareness through educational and cultural programs that take place before, during, and after the projects for the purpose of encouraging a more meaningful trip environment. Participants are able to cultivate their ambitions as service leaders at the University and make positive, meaningful change at sites across the country and around the world. ASB is committed to making trips accessible for every UVA student, offering extensive financial aid and support to any student interested in participating in an ASB trip.ASB is an inclusive community composed of a fun, passionate, and diverse group of students from across the University!",529ace9d-9d3d-411e-95bb-df68c53a5885.jpg
Alumni Association,Campus Units,"Department, Schools, or Centers",True,To build the strongest bond among alumni and between alumni and the University of Virginia while representing the independent voice and perspectives of alumni.,c7562146-2e71-47da-bba6-b3f6ce9cdc23.jpg
Alzheimer's Foundation of America at the University of Virginia,Service & Advocacy,Contracted Independent Organization (CIO)$Public Service$No Application or Interview Required,False,"If you are interested in meaningful support and want to provoke CHANGE for the state and culture of Alzheimer’s Disease in the United States, join UVA’s first chapter of the Alzheimer’s Foundation of America (AFA at UVA)! Unlike other organizations centered around disease, AFA is about supporting the forgotten victims of Alzheimer’s: the affected friends and families. As members, you will take an active role in leading discussion and constructing projects that will reach not only caregivers and healthcare providers, but also legislators, leaders in medicine, and beyond.",4150d14c-b93d-4f26-a286-5ca44aaeb315.jpg
Amateur Radio Club at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Public Service$Social & Hobby$No Application or Interview Required,False,"The Amateur Radio Club is a group for anyone interested in amateur radio technology and its uses. Amateur (or ham) radio spans many different interests from those who do RF hacking and hardware to those who practice last resort emergency communications. The Amateur Radio Club covers all of these interests and in our meetings we discuss the state of the art in hardware and theory, build and experiment, and support those interested in the emergency applications and responsible use of RF technology. ",c1e023ad-0895-4fd3-be8d-397008726e1b.png
American Cancer Society Cancer Action Network at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Political & Advocacy$Public Service$No Application or Interview Required,False,"American Cancer Society Cancer Action Network (ACS CAN) at UVA works to bring together students interested in public policy, healthcare, and service to educate and make an impact in our community. We work at the local, state and national levels to help lobby for legislation and also work along the National ACS CAN Chapter and the UVA Cancer Center to help educate our community about health policies impacting all people groups.Please contact uva.acscan@gmail.com if you have any questions!",7aee1a89-59ff-4d9d-82d5-199dfdd98b8b.jpeg
American Constitution Society,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Law School$Political & Advocacy$Public Service$No Application or Interview Required,False,"The American Constitution Society for Law and Policy is a group of students concerned about the pervasive conservative orthodoxy in American law and politics. We believe deeply in the importance of law as the mechanism which governs the relationships between and among the individuals and institutions that form our society, and we recognize the direct relationship between legal theory and the broader political debate about the kind of society in which we live.",02406188-963b-41da-b0f2-06abb62704f3.png
American Institute of Aeronautics and Astronautics,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional$No Application or Interview Required,False,AIAA provides an opportunity for Aerospace/Mechanical Engineering students or anyone with a passion for aerospace to engage with the professional community. Through weekly meetings to discuss pertinent news and work on the annual AIAA design competitions to &#34;Aero Day&#34;- an event for the Charlottesville community-- AIAA is a great way to learn from your peers and develop your industry network. ,b4919acd-be81-4c4b-b3e0-ffe547b6f12d.png
American Institute of Architecture Students at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$No Application or Interview Required$Architecture$Sustainability,False,"AIAS is a national, student-run organization that diversifies architectural education. Here at the UVA School of Architecture, our chapter provides professional, service, social, leadership, and travel opportunities. Our mission is to provide a more sustainable, healthy, and equitable future through the empowerment of student voices, ideas, and actions. In recent events, we have introduced students to various professional development workshops, hearing from local architecture firms and practicing architects about their experiences in the architecture and design-related disciplines. ",60704043-5833-4524-81da-5dd08474de6b.jpg
American Institute of Chemical Engineers,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Public Service$Social & Hobby$No Application or Interview Required,False,"AIChE at UVA is an academic organization that promotes the professional development of the Chemical Engineering students at UVA. AIChE helps organize several events such as plant tours to nearby manufacturing facilities, speaker panels with alumni, career-focused events such as internship panels, and an annual Networking Night. It also plans social events for Chemical Engineering students to create bonds with peers.One major purpose of AIChE at UVA is to provide opportunities for students to interact with other members of the AIChE nationally, including students from other chapters, alumni of the university, and professional chemical engineers. Students to go to the National and Regional AIChE conferences each year hosted by different AIChE chapters around the country each year to give them an opportunity to help them gain career advice and learn about the industry and the profession. AIChE also has two subsidiaries: Wahoo Wizards is a service-based organization that visits local elementary schools and shows kids science experiments to educate them about science in an interesting and engaging manner. ChemE Car is a group of students that build a car all year long that is powered by a chemical reaction and designed by the students. This team competes at the Regional Conference in the spring semester against other teams of students from other chapters of AIChE.",3c8da1bc-4133-4ec3-9779-05c5ff4953ca.jpg
American Lung Cancer Screening Initiative at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Political & Advocacy$No Application or Interview Required,False,"Lung cancer is the most deadly cancer in the United States with an overall 5-year survival rate of only 18.6%. The 16% of cases caught in an early stage have a survival rate of 56%, while those that are not caught early have a 5% survival rate, which proves the need for more widespread screening and prevention efforts. Only 5.7% of Americans at high risk for lung cancer get screened each year- this organization aims to increase that percentage by spreading awareness and advocating for bills that will expand lung cancer screening guidelines. ",fe616d59-c55c-4292-b031-b339615712b9.jpeg
American Medical Student Association at the University of Virginia (UVA),Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Public Service$Social & Hobby$No Application or Interview Required,False,"AMSA at the University of Virginia (UVA) is comprised of premeds dedicated to helping each other develop the knowledge and skills necessary to become great physicians. Through AMSA, you will have the opportunity to attain valuable clinical experience, knowledge of the field of medicine, leadership positions, community service opportunities, and more! We offer a wide variety of events, including workshops, panels, and speakers to help facilitate your journey into your health career. Additionally, AMSA at UVA is a great way to find a support network who understand what it's like to be pre-health. Bring your enthusiasm and your love for medicine, and we can't wait to meet you!AMSA is a national organization, and local chapters are found at almost all major colleges across the country. In fact, AMSA is the largest group of premeds and medical students in the nation. Although this organization has members who are University of Virginia students and may have University employees associated or engaged in its activities and affairs, the organization is not a part of or an agency of the University. It is a separate and independent organization which is responsible for and manages its own activities and affairs. The University does not direct, supervise or control the organization and is not responsible for the organization’s contracts, acts or omissions.",102c9700-e8cd-4515-8c95-ac6a65ad88e5.jpg
American Society of Biomechanics Chapter at UVA,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional,True,"In affiliation with the larger American Society for Biomechanics, UVA's ASB chapter seeks to bring together undergraduate and graduate students interested in biomechanics. Through this connection, we share our research with each other and work together to educate the greater Charlottesville community and beyond about the exciting field of biomechanics.",655e9b1e-7ce8-4d5e-bc9e-4c3159afd459.png
